Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",9,70.723329032s,70.722950062s,8.031825ms,0ns,10,464,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",10,70.942203059s,70.941610574s,7.941463ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",1,70.813761553s,70.81314467s,8.069847ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",2,70.877337697s,70.876900193s,7.840311ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",3,71.007867974s,71.007393715s,9.382344ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",4,70.750167066s,70.749773821s,9.101851ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",5,70.657102387s,70.656709267s,7.30177ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",6,70.626425306s,70.625991352s,10.345501ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",7,70.508237588s,70.507834435s,7.714003ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",8,70.695166032s,70.694785293s,7.738367ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",9,70.638719923s,70.638280545s,7.570111ms,0ns,10,464,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",10,70.731028746s,70.730653111s,7.616837ms,0ns,10,464,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",1,88.215733372s,88.215325865s,5.454943ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",2,88.298953221s,88.298632078s,4.682982ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",3,89.734548764s,89.734226312s,4.484389ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",4,88.161434412s,88.161124845s,4.429727ms,1ms,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",5,88.395959305s,88.395567568s,4.648501ms,1ms,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",6,89.912112512s,89.91179252s,4.618085ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",7,89.370912565s,89.37061714s,4.37841ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",8,89.075313514s,89.074967041s,4.436953ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",9,89.845104523s,89.844793154s,4.579982ms,1ms,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",10,89.396913494s,89.39660593s,4.336351ms,0ns,100,3761,42246255,0.00%,2344951
