Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",2564.0282564999998,88.58054806705861,2564.2900765000004,3.1914749999999996,0.0,887676.0,40734436.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",3099.8902495,53.72488709773375,3100.1323536000004,3.1417036999999994,0.0,1.0,148.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",910.3045545000001,18.189091204026635,910.5437125000001,3.0808436,0.0,1.0,148.0,2260380.0,0.0,24530.0
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",1159.2244665,29.295396061560236,1159.4754854,3.1545411,0.0,1.0,148.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen2gb group by testdefopen2gb.similarsmallstring;",1399.2793485,61.70422906377218,1399.5261366,3.1166367,0.0,1.0,63.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen2gb group by testdefopen2gb.similarsmallstring;",915.2951527000001,16.808706187966514,915.5467629000001,3.1410034,0.1,1.0,63.0,2260380.0,0.0,24530.0
"use testopen2gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarsmallstring;",933.4467586000001,16.44061317877085,933.6971937999999,3.0223257,0.0,1.0,63.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'false';use testopen2gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen2gb group by testdefopen2gb.normalsmallstring;",5892.3449741,151.26219207526518,5892.5791074,3.059648,0.0,2257675.0,126429800.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'true';use testopen2gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen2gb group by testdefopen2gb.normalsmallstring;",5621.9133086,198.98896378835659,5622.1440938,3.0419902999999997,0.0,2257675.0,126429800.0,2260380.0,0.0,24530.0
"use testopen2gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.normalsmallstring;",5935.349871799999,204.5230286970137,5935.5943112,3.0790094000000003,0.0,2257675.0,126429800.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'false';use testopen2gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen2gb group by testdefopen2gb.variablelengthstring;",12781.603463800002,503.8331770678541,12781.835567499998,3.0759657000000002,0.1,2260380.0,395689265.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'true';use testopen2gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen2gb group by testdefopen2gb.variablelengthstring;",12395.457626,411.15187047304414,12395.6979116,3.1209255000000002,0.0,2260380.0,395689265.0,2260380.0,0.0,24530.0
"use testopen2gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.variablelengthstring;",23507.0194034,844.7465212995878,23507.2641169,3.012093,0.1,2260380.0,395689265.0,2260380.0,0.0,24530.0
"set `compiler.optimize.groupby` 'false';use testopen4gb; select ten, count(ten) as count from testdefopen4gb group by testdefopen4gb.ten;",2882.0239423999997,150.06120670308042,2882.2558087,3.0448805,0.0,10.0,360.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'true';use testopen4gb; select ten, count(ten) as count from testdefopen4gb group by testdefopen4gb.ten;",1692.1028947999998,23.364515535937578,1692.3309034,2.9550865,0.0,10.0,360.0,4520789.0,0.0,49051.0
"use testopen4gb; select ten, count(ten) as count from testdefopen4gb /*+ hash */ group by testdefopen4gb.ten;",1738.2139774,28.26707517554995,1738.4550342000002,2.8732941999999997,0.0,10.0,360.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'false';use testopen4gb; select tenkgroups, count(tenkgroups) as count from testdefopen4gb group by testdefopen4gb.tenkgroups;",2613.1201542,117.38003929597815,2613.353887,2.8559772000000008,0.1,10000.0,428890.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'true';use testopen4gb; select tenkgroups, count(tenkgroups) as count from testdefopen4gb group by testdefopen4gb.tenkgroups;",1789.2642184000001,32.436387374641846,1789.5017458999998,2.9203916999999997,0.0,10000.0,428890.0,4520789.0,0.0,49051.0
"use testopen4gb; select tenkgroups, count(tenkgroups) as count from testdefopen4gb /*+ hash */ group by testdefopen4gb.tenkgroups;",1876.9325943,27.43370779120346,1877.1709030999998,2.8238461999999998,0.0,10000.0,428890.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'false';use testopen4gb; select milliongroups, count(milliongroups) as count from testdefopen4gb group by testdefopen4gb.milliongroups;",5695.992869299999,222.15752482398466,5696.2424759,3.1249914,0.1,987226.0,45307987.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'true';use testopen4gb; select milliongroups, count(milliongroups) as count from testdefopen4gb group by testdefopen4gb.milliongroups;",4841.851550599999,172.52635101146763,4842.0987951,3.1051408,0.0,987226.0,45307987.0,4520789.0,0.0,49051.0
"use testopen4gb; select milliongroups, count(milliongroups) as count from testdefopen4gb /*+ hash */ group by testdefopen4gb.milliongroups;",5065.963009099999,106.6816600390477,5066.203143900001,2.7975393,0.0,987226.0,45307987.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'false';use testopen4gb; select similarstring, count(similarstring) as count from testdefopen4gb group by testdefopen4gb.similarstring;",6253.8215328999995,77.06494876931977,6254.0552394,2.8481560999999997,0.0,1.0,148.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'true';use testopen4gb; select similarstring, count(similarstring) as count from testdefopen4gb group by testdefopen4gb.similarstring;",1795.6613086999998,15.458518564528669,1795.9053903,2.9740666000000004,0.0,1.0,148.0,4520789.0,0.0,49051.0
"use testopen4gb; select similarstring, count(similarstring) as count from testdefopen4gb /*+ hash */ group by testdefopen4gb.similarstring;",2230.6608126,35.790030362693635,2230.8980664,2.8885270999999997,0.0,1.0,148.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'false';use testopen4gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen4gb group by testdefopen4gb.similarsmallstring;",2836.8416435999998,74.12360987267992,2837.0810566,2.7472288000000007,0.0,1.0,63.0,4520789.0,0.0,49051.0
