Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",1,2.054131385s,2.053700559s,6.641305ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",2,2.029586483s,2.028584011s,11.940784ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",3,2.010653251s,2.009546151s,8.752521ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",4,2.038316243s,2.03721245s,12.715329ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",5,2.083029082s,2.08252062s,7.499783ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",6,1.993212835s,1.992544052s,5.817208ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",7,2.110238755s,2.109232358s,11.876992ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",8,2.026492526s,2.026090656s,5.045634ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",9,2.059096436s,2.058712985s,4.963023ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",10,2.119487952s,2.119061591s,5.343587ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",1,1.373802669s,1.373310681s,6.11579ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",2,1.308908888s,1.307913429s,13.343386ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",3,1.380923366s,1.380389083s,7.336901ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",4,1.29339894s,1.292930378s,4.899601ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",5,1.414743816s,1.414356519s,5.410332ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",6,1.386686216s,1.385714531s,11.346064ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",7,1.40582102s,1.405392695s,4.911501ms,0ns,10,360,2260380,0.00%,24525
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",8,1.280538665s,1.279560193s,5.986308ms,0ns,10,360,2260380,0.00%,24525
