Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount,realquery,size(gb),type,groupmemory(MB),groupbyattribute,aggregate,nc,dp
"set `compiler.optimize.groupby` 'true';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",223477.18283430004,1739.1224302306632,223477.4938914,4.4336908,0.0,100.0,4115.0,42246255.0,0.0,2344964.0,"use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",unknown,opt,32,name as uname order by c desc limit 100,sum,1,1
"use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",488914.0407104,2754.727770424978,488914.3582894,4.410595600000001,0.0,100.0,4115.0,42246255.0,0.0,2344964.0,"use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t  group by user.name as uname order by c desc limit 100;",unknown,hash,32,name as uname order by c desc limit 100,sum,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen2gb; select ten, count(ten) as count from wiscondefopen2gb group by wiscondefopen2gb.ten;",4064.9829381,68.64012144375597,4065.2535623,3.5343351000000007,0.1,10.0,360.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select ten, count(ten) as count from wiscondefopen2gb group by wiscondefopen2gb.ten;",2,sort,32,ten,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen2gb; select ten, count(ten) as count from wiscondefopen2gb group by wiscondefopen2gb.ten;",2584.5246445,71.94112854062809,2584.8500058,4.2340572000000005,0.0,10.0,360.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select ten, count(ten) as count from wiscondefopen2gb group by wiscondefopen2gb.ten;",2,opt,32,ten,count,1,1
"use wisconopen2gb; select ten, count(ten) as count from wiscondefopen2gb /*+ hash */ group by wiscondefopen2gb.ten;",2620.8083098,63.74941187633789,2621.114744,3.8668228,0.1,10.0,360.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select ten, count(ten) as count from wiscondefopen2gb  group by wiscondefopen2gb.ten;",2,hash,32,ten,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen2gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen2gb group by wiscondefopen2gb.tenkgroups;",3790.8910933000006,87.2056478162376,3791.1653297,3.5111091,0.1,10000.0,428890.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen2gb group by wiscondefopen2gb.tenkgroups;",2,sort,32,tenkgroups,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen2gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen2gb group by wiscondefopen2gb.tenkgroups;",2812.6084852,115.03469130471665,2812.8840072,3.5392797000000003,0.0,10000.0,428890.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen2gb group by wiscondefopen2gb.tenkgroups;",2,opt,32,tenkgroups,count,1,1
"use wisconopen2gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen2gb /*+ hash */ group by wiscondefopen2gb.tenkgroups;",2782.4782286,76.68229375170851,2782.7618574000003,3.3735591,0.0,10000.0,428890.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen2gb  group by wiscondefopen2gb.tenkgroups;",2,hash,32,tenkgroups,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen2gb; select milliongroups, count(milliongroups) as count from wiscondefopen2gb group by wiscondefopen2gb.milliongroups;",8164.579659000001,101.19508254334382,8164.865922799999,3.4696171000000007,0.0,887676.0,40734436.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select milliongroups, count(milliongroups) as count from wiscondefopen2gb group by wiscondefopen2gb.milliongroups;",2,sort,32,milliongroups,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen2gb; select milliongroups, count(milliongroups) as count from wiscondefopen2gb group by wiscondefopen2gb.milliongroups;",7857.459645699999,103.13276473559289,7857.730843199999,3.4875106,0.1,887676.0,40734436.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select milliongroups, count(milliongroups) as count from wiscondefopen2gb group by wiscondefopen2gb.milliongroups;",2,opt,32,milliongroups,count,1,1
"use wisconopen2gb; select milliongroups, count(milliongroups) as count from wiscondefopen2gb /*+ hash */ group by wiscondefopen2gb.milliongroups;",11216.1124419,155.01493206168027,11216.3857571,3.2493974000000003,0.1,887676.0,40734436.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select milliongroups, count(milliongroups) as count from wiscondefopen2gb  group by wiscondefopen2gb.milliongroups;",2,hash,32,milliongroups,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen2gb; select similarstring, count(similarstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarstring;",10943.7937157,150.5338131709958,10944.0501203,3.3238423999999998,0.0,1.0,148.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select similarstring, count(similarstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarstring;",2,sort,32,similarstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen2gb; select similarstring, count(similarstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarstring;",2811.7435965,85.2474533846149,2811.9974914000004,3.2446715,0.1,1.0,148.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select similarstring, count(similarstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarstring;",2,opt,32,similarstring,count,1,1
"use wisconopen2gb; select similarstring, count(similarstring) as count from wiscondefopen2gb /*+ hash */ group by wiscondefopen2gb.similarstring;",3587.0489277,154.40448397127778,3587.3097494000003,3.108405,0.0,1.0,148.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select similarstring, count(similarstring) as count from wiscondefopen2gb  group by wiscondefopen2gb.similarstring;",2,hash,32,similarstring,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen2gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarsmallstring;",4431.2077908,77.5897679265897,4431.4737173,3.2066444,0.0,1.0,63.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarsmallstring;",2,sort,32,similarsmallstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen2gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarsmallstring;",2801.7513095,109.05053144466812,2802.0106423,3.1716652,0.0,1.0,63.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.similarsmallstring;",2,opt,32,similarsmallstring,count,1,1
