Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",1,241.51937755s,241.518839866s,13.796288ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",2,240.905984534s,240.905308225s,18.185839ms,1ms,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",3,240.062949833s,240.062164734s,20.871268ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",4,239.982394152s,239.981789717s,18.498715ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",5,240.413442485s,240.412857786s,12.753563ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",6,240.575711499s,240.575150393s,11.571119ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",7,240.646294986s,240.64558454s,11.991542ms,1ms,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",8,240.497021325s,240.496518561s,11.418733ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",9,240.29790105s,240.297120335s,12.344373ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",10,240.327430797s,240.326881409s,13.367809ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",1,240.205720583s,240.205181257s,10.475756ms,1ms,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",2,240.236238162s,240.235740581s,11.011906ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",3,240.320246766s,240.319747871s,10.275133ms,1ms,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",4,240.212467812s,240.211926165s,9.76876ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",5,240.578627851s,240.578066177s,10.441208ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",6,240.194748677s,240.194265526s,10.199755ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",7,239.814371686s,239.813893028s,10.219196ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",8,239.774152842s,239.773638001s,11.183431ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",9,240.150616187s,240.150126414s,9.724071ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",10,240.230676547s,240.23015912s,9.792962ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",1,240.482306658s,240.4817304s,9.003363ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",2,240.726030158s,240.725566356s,8.7264ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",3,241.214165043s,241.213688277s,8.892666ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",4,241.980599273s,241.980085842s,9.013462ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",5,240.200485603s,240.199966146s,8.902996ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",6,240.996169647s,240.995632014s,8.785957ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",7,240.661481094s,240.661015025s,9.583333ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",8,239.997983457s,239.997341331s,11.580459ms,1ms,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",9,240.904341782s,240.903869053s,9.382161ms,0ns,10,464,42246255,0.00%,2344964
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",10,240.537296217s,240.536851378s,9.061229ms,0ns,10,464,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",1,256.100993421s,256.100600532s,5.753058ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",2,256.607870565s,256.607498421s,5.268372ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",3,255.129332286s,255.128889826s,5.069674ms,1ms,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",4,256.900431162s,256.900043053s,7.183641ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",5,256.514862599s,256.514476588s,5.413064ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",6,255.565636388s,255.565262449s,5.095404ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",7,257.645217386s,257.644841244s,5.10275ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",8,257.320305436s,257.319934282s,4.849107ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",9,257.083943641s,257.083517978s,5.157707ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",10,256.786586752s,256.786205948s,5.092295ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",1,235.293869381s,235.293485787s,5.182411ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",2,232.181711804s,232.181255373s,5.188981ms,0ns,100,3761,42246255,0.00%,2344964
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",3,235.673858754s,235.673463165s,4.919971ms,0ns,100,3761,42246255,0.00%,2344964
