Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",7,2.630166837s,2.629764299s,5.270536ms,0ns,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",8,2.657671268s,2.657292069s,5.176292ms,0ns,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",9,2.542965107s,2.542566669s,5.523685ms,0ns,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",10,2.83332155s,2.832943581s,4.778885ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",1,3.838131026s,3.837721651s,4.945409ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",2,3.797467597s,3.796912474s,5.349937ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",3,3.800188175s,3.799654625s,5.007937ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",4,3.788507931s,3.788141176s,5.051672ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",5,3.745441521s,3.744900772s,6.837797ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",6,3.789426494s,3.789036609s,5.956162ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",7,3.999648211s,3.999270618s,4.603928ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",8,3.761319847s,3.760944368s,4.523343ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",9,3.722090781s,3.721721773s,4.914451ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",10,3.876230058s,3.875856805s,4.617679ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",1,2.829820688s,2.829449605s,5.035165ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",2,2.656513267s,2.656129391s,5.206529ms,0ns,10000,428890,2260380,0.00%,24522
