Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",1,47.189389622s,47.188647706s,44.692781ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",2,47.505430019s,47.504680561s,49.321234ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",3,47.432904012s,47.432157993s,48.549951ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",4,47.246139264s,47.245525804s,39.943099ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",5,49.62181114s,49.620270739s,41.311039ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",6,48.285273955s,48.284717043s,46.926018ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",7,49.447641024s,49.446958914s,48.474606ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",8,47.613580876s,47.612846519s,44.121209ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",9,49.513573634s,49.513023004s,36.796132ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",10,47.66462222s,47.664101064s,35.424253ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",1,47.192804s,47.192290005s,32.236223ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",2,47.152906524s,47.152253209s,43.92603ms,1ms,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",3,49.757750269s,49.757232783s,36.698651ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",4,48.380000018s,48.379430096s,37.94284ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",5,47.325541927s,47.324965287s,36.900929ms,1ms,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",6,49.474982883s,49.474439798s,39.440488ms,1ms,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",7,47.92084625s,47.920333725s,37.961138ms,1ms,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",8,50.505175204s,50.504666454s,32.078805ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",9,48.168022614s,48.167509931s,33.105512ms,0ns,10,464,42246255,0.00%,2344914
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",10,47.827538126s,47.827033528s,36.880583ms,0ns,10,464,42246255,0.00%,2344914
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",1,47.701234362s,47.700695062s,39.560174ms,0ns,10,464,42246255,0.00%,2344914
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",2,48.246152033s,48.245485261s,32.645504ms,0ns,10,464,42246255,0.00%,2344914
